Term	UnitsName	UnitsTypeCV	UnitsAbbreviation	UnitsLink	limnoflag	unitabbv
meterPerHour	Meter per Hour	Linear velocity	m/h	http://qudt.org/vocab/unit#MeterPerHour	NA	mph
meterPerMinute	Meter per Minute	Linear velocity	m/min	http://qudt.org/vocab/unit#MeterPerMinute	NA	mpmin
meterPerSecond	Meter per Second	Linear velocity	m/s	http://qudt.org/vocab/unit#MeterPerSecond; http://qwwebservices.usgs.gov/service-domains.html	NA	mps
milePerHour	Mile per Hour	Linear velocity	mph	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qudt.org/vocab/unit#MilePerHour	NA	mph
milePerMinute	Mile per Minute	Linear velocity	mi/min	http://qudt.org/vocab/unit#MilePerMinute	NA	mipmin
millimeterPerDay	Millimeter per Day	Linear velocity	mm/day	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mmpday
millimeterPerHour	Millimeter per Hour	Linear velocity	mm/hr	http://environment.data.gov.au/def/unit/MillimeterPerHour	NA	mmphr
millimeterPerSecond	Millimeter per Second	Linear velocity	mm/s	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mmps
nauticalMilePerHour	Nautical Mile per Hour	Linear velocity	knot	http://qudt.org/vocab/unit#NauticalMilePerHour; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	knot
nauticalMilePerMinute	Nautical Mile per Minute	Linear velocity	nmi/min	http://qudt.org/vocab/unit#NauticalMilePerMinute	NA	nmipmin
apostilb	Apostilb	Luminance		http://www.unidata.ucar.edu/software/udunits/	NA	
blondel	Blondel	Luminance		http://www.unidata.ucar.edu/software/udunits/	NA	
candelaPerSquareInch	Candela per Square Inch	Luminance	cd/in^2	http://qudt.org/vocab/unit#CandelaPerSquareInch	NA	cdpin2
candelaPerSquareMeter	Candela per Square Meter	Luminance	cd/m^2	http://qudt.org/vocab/unit#CandelaPerSquareMeter	NA	cdpm2
footLambert	Foot Lambert	Luminance	ft-L	http://qudt.org/vocab/unit#FootLambert; http://www.unidata.ucar.edu/software/udunits/	NA	ftl
lambert	Lambert	Luminance	Lmb	http://qudt.org/vocab/unit#Lambert; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-33http://www.unidata.ucar.edu/software/udunits/; https://en.wikipedia.org/wiki/Lambert_%28unit%29	NA	lmb
nit	Nit	Luminance	nt	http://www.unidata.ucar.edu/software/udunits/	NA	nt
stilb	Stilb	Luminance	sb	http://qudt.org/vocab/unit#Stilb; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/	NA	sb
lumenPerWatt	Lumen per Watt	Luminous efficacy		http://qudt.org/vocab/unit#LumenPerWatt	NA	
lumenSecond	Lumen Second	Luminous energy	lm s	http://qudt.org/vocab/unit#LumenSecond	NA	lms
lumen	Lumen	Luminous flux	lm	http://qudt.org/vocab/unit#Lumen; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/	NA	lm
candela	Candela	Luminous intensity	cd	http://qudt.org/vocab/unit#Candela	NA	cd
candle	Candle	Luminous intensity	cd	http://qudt.org/vocab/unit#Candle	NA	cd
candlepower	Candlepower	Luminous intensity	cd	http://qudt.org/vocab/unit#Candlepower	NA	cd
electronvoltPerTesla	ElectronVolt per Tesla	Magnetic dipole moment	eV T^-1	http://qudt.org/vocab/unit#ElectronVoltPerTesla	NA	evt1
joulePerTesla	Joule per Tesla	Magnetic dipole moment	J/T	http://qudt.org/vocab/unit#JoulePerTesla	NA	jpt
amperePerMeter	Ampere per Meter	Magnetic field strength	A/m	http://qudt.org/vocab/unit#AmperePerMeter	NA	apm
ampereTurnPerInch	Ampere Turn per Inch	Magnetic field strength	At/in	http://qudt.org/vocab/unit#AmpereTurnPerInch	NA	atpin
ampereTurnPerMeter	Ampere Turn per Meter	Magnetic field strength	At/m	http://qudt.org/vocab/unit#AmpereTurnPerMeter	NA	atpm
oersted	Oersted	Magnetic field strength	Oe	http://qudt.org/vocab/unit#Oersted; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/	NA	oe
abvoltSecond	Abvolt Second	Magnetic flux		http://qudt.org/vocab/unit#AbvoltSecond	NA	
